standardName,standardDefinition,wikiLink,jiraLink
Wildcard Searching,Wildcard searching should be standard across all search fields to allow flexible pattern matching,https://folio-org.atlassian.net/wiki/spaces/AppInt/pages/4098958/Search+expectations+across+apps,https://folio-org.atlassian.net/browse/UXPROD-4545
Case Sensitive Searching,Searches should not be case sensitive,https://folio-org.atlassian.net/wiki/spaces/AppInt/pages/4098958/Search+expectations+across+apps,https://folio-org.atlassian.net/browse/UXPROD-4547
